token	codepoint	category	count	first_book	first_main	first_sub	first_title	ids
󐣹	U+D08F9	Cn	476	正文	祖	且	󐣹祖癸觚	
󐑍	U+D044D	Cn	430	正文	一	𫜢	中山王󐑍壺	
󐀕	U+D0015	Cn	163	正文	黹	黹	黹󐨙󐀕爵	
󐨙	U+D0A19	Cn	162	正文	單	單	子󐨙單爵	
󐤧	U+D0927	Cn	138	正文	天	天	亞疋󐤧鉞	
󐕱	U+D0571	Cn	127	正文	若	若	彔伯󐕱簋蓋	
󐤉	U+D0909	Cn	127	正文	祖	祖	󐤉祖乙尊	
󐤩	U+D0929	Cn	105	單一族徽	單一族徽第44組	單一族徽第44組	󐤩卣蓋	
󐤈	U+D0908	Cn	89	正文	乙	乙	󐤈父乙甗	
󐓨	U+D04E8	Cn	83	正文	尊	尊	󑚝󐓨卣	
󐣧	U+D08E7	Cn	80	正文	祖	且	󐣧祖丁鼎	
󐔦	U+D0526	Cn	67	正文	元	元	曾伯󐔦簠蓋	
󐧝	U+D09DD	Cn	67	正文	󐧝	󐧝	󐤧甗	
󐵔	U+D0D54	Cn	65	正文	祈	𰒃	󐵔子楚鼎	
󐤛	U+D091B	Cn	61	單一族徽	單一族徽第11組	單一族徽第11組	󐤛父丁鼎	
󐥝	U+D095D	Cn	60	單一族徽	單一族徽第287組	單一族徽第287組	󐥝簋	
󐤽	U+D093D	Cn	52	正文	竹	竹	亞󐤽孤竹鼎	
󐮩	U+D0BA9	Cn	51	正文	三	三	楚王酓󐮩鼎	
󐔱	U+D0531	Cn	48	正文	芋	芋	鄭令郭󐔱矛	
󐥞	U+D095E	Cn	48	單一族徽	單一族徽第288組	單一族徽第288組	󐥞觚	
󐇥	U+D01E5	Cn	42	正文	圍	󐇥	󐇥爵	
󐣱	U+D08F1	Cn	42	正文	兄	兄	󐣱兄辛觶蓋	
󐭻	U+D0B7B	Cn	42	正文	󐍀	󐍀	󐍀叔󐭻鼎	
󐄏	U+D010F	Cn	40	正文	祖	且	󐄏簋	
󐤌	U+D090C	Cn	39	正文	齊	齊	󐤌齊婛尊	
󐥵	U+D0975	Cn	39	複合族徽	西單󐥵	西單󐥵	󐥠西單爵	
󐅳	U+D0173	Cn	38	正文	󐅳	󐅳	闢斝	
󐧂	U+D09C2	Cn	38	正文	何	何	何父癸󐧂簋	
󐦎	U+D098E	Cn	36	正文	𧯦	𧯦	𣐺󐦎𧯦簋	
󐱠	U+D0C60	Cn	36	正文	唐	唐	宋公󐱠鼎	
󰄕	U+F0115	Co	36	正文	三	三	文󰄕己觥	
󐥳	U+D0973	Cn	34	正文	冊	冊	臣辰󐥳冊父乙簋	
󐤋	U+D090B	Cn	32	單一族徽	單一族徽第238組	單一族徽第238組	󐤋鼎	
󐌊	U+D030A	Cn	30	單一族徽	單一族徽第507組	單一族徽第507組	󐌊觚	
󐥢	U+D0962	Cn	29	複合族徽	車󐥢	車󐥢	車󐥢鼎	
󐬆	U+D0B06	Cn	29	正文	命	命	󐬆盂	
󐊝	U+D029D	Cn	28	單一族徽	單一族徽第465組	單一族徽第465組	󐊝鼎	
󐦕	U+D0995	Cn	28	正文	保	󐦕	太保鼎	
󐦟	U+D099F	Cn	28	單一族徽	單一族徽第340組	單一族徽第340組	󐦟婦觶蓋	
󑞭	U+D17AD	Cn	28	正文	祈	󑞮	諻󑞭缶乙	
󐀀	U+D0000	Cn	27	正文	周	周	周󐀀大父己爵	
󐔷	U+D0537	Cn	26	正文	󐔷	󐔷	束仲豆父簋蓋	
󐔹	U+D0539	Cn	26	單一族徽	單一族徽第269組	單一族徽第269組	󐔹鼎	
󐮋	U+D0B8B	Cn	26	正文	三	三	󐮋鼎	
󑊄	U+D1284	Cn	26	單一族徽	單一族徽第457組	單一族徽第457組	󑊄辛觶	
󐦄	U+D0984	Cn	25	單一族徽	單一族徽第320組	單一族徽第320組	󐦄爵	
󐦋	U+D098B	Cn	25	單一族徽	單一族徽第51組	單一族徽第51組	󐦋爵	
󐩥	U+D0A65	Cn	25	正文	鑄	󐩥	太保都盤	
󐤫	U+D092B	Cn	24	單一族徽	單一族徽第262組	單一族徽第262組	癸󐤫卣蓋	
󐤴	U+D0934	Cn	24	正文	썷	썷	婦󐤴觚	
󐪅	U+D0A85	Cn	24	正文	䀠	䀠	󐪅伯󐨠鼎	
󐯊	U+D0BCA	Cn	24	正文	𫭠	𫭠	平陽皇󐯊殘片	
󐱅	U+D0C45	Cn	24	正文	小	小	師󐱅鼎	
󑭅	U+D1B45	Cn	24	正文	唯	𨾟	攻吳王姑讎亓󑭅劍	
󐀣	U+D0023	Cn	22	正文	蔡	󐀣	蔡爵	
󑀛	U+D101B	Cn	22	正文	茆	茆	󑀛史簋乙	
󐆮	U+D01AE	Cn	21	正文	蔑	蔑	小子󐆮卣蓋	
󐊨	U+D02A8	Cn	21	複合族徽	南󐊨	南󐊨	南󐊨爵	
󐣮	U+D08EE	Cn	21	正文	󐣮	󐣮	肅卣	
󐨐	U+D0A10	Cn	21	正文	馭	󐨐	馭卣	
󐫅	U+D0AC5	Cn	21	正文	𩒳	󐫅	梁其壺甲蓋	
󑆝	U+D119D	Cn	21	複合族徽	萈󑆝	萈󑆝	󑆝羊爵	
󐋮	U+D02EE	Cn	20	正文	攸	攸	󐋮罍	
󐍀	U+D0340	Cn	20	正文	󐍀	󐍀	𫮩鼎	
󐔻	U+D053B	Cn	20	正文	歲	歲	蒍夫人󐔻鼎	
󐩗	U+D0A57	Cn	20	正文	󐩗	󐩗	󐩗鼎	
󐷩	U+D0DE9	Cn	20	正文	歸	歸	王人󐷩輔甗	
󐍝	U+D035D	Cn	19	正文	頾	髭	聑髭婦󐍝爵	
󐤊	U+D090A	Cn	19	單一族徽	單一族徽第237組	單一族徽第237組	󐤊父己鼎	
󑀝	U+D101D	Cn	19	正文	𪱪	󑀝	滕侯鼎蓋	
󑂈	U+D1088	Cn	19	正文	逆	逆	楷侯󑂈逆簠	
󐑌	U+D044C	Cn	18	正文	󐑌	󐑌	󐑌簋	
󐩻	U+D0A7B	Cn	18	正文	造	󑐠	󐩻卣	
󐭝	U+D0B5D	Cn	18	正文	正	正	󐭝鼎	
󐳲	U+D0CF2	Cn	18	正文	盥	𬐮	叔󐳲盤	
󐷦	U+D0DE6	Cn	18	正文	三	三	󐷦公蘇戈	
󐾨	U+D0FA8	Cn	18	正文	󐾨	󐾨	宗人簋甲	
󑆁	U+D1181	Cn	18	單一族徽	單一族徽第49組	單一族徽第49組	亞󑆁觚	
󑩜	U+D1A5C	Cn	18	正文	春	旾	鄭令公先󑩜戈	
񅒘	U+45498	Cn	17	正文	犅	𱭭	犅伯񅒘卣	
󐗑	U+D05D1	Cn	17	正文	友	󐗑	召卣	
󐤡	U+D0921	Cn	17	正文	聑	聑	󐦑聑󐤡鼎	
󐤵	U+D0935	Cn	17	單一族徽	單一族徽第45組	單一族徽第45組	亞󐤵鼎	
󐬎	U+D0B0E	Cn	17	正文	𩒳	󐬎	仲枏父簋蓋	
󐲋	U+D0C8B	Cn	17	正文	󐲋	󐲋	叔󐲋方彝蓋	
󐷈	U+D0DC8	Cn	17	正文	獻	󐷈	伯甗	
󐺻	U+D0EBB	Cn	17	正文	福	𫴦	󐺻史殿壺蓋	
󑀼	U+D103C	Cn	17	正文	󑀼	󑀼	󑀼慶父簋	
󑃧	U+D10E7	Cn	17	正文	及	及	󑃧余敦	
󐂾	U+D00BE	Cn	16	正文	󐂾	󐂾	小臣󐂾鼎	
󐆐	U+D0190	Cn	16	正文	豐	󐑯	󐆐公󐨥鼎	
󐏨	U+D03E8	Cn	16	正文	󐏨	󐰔	師望鼎	
󐖷	U+D05B7	Cn	16	正文	󐖷	󐖷	曾󰌸尹喬缶	
󐤦	U+D0926	Cn	16	單一族徽	單一族徽第260組	單一族徽第260組	󐤦鼎	
󐬂	U+D0B02	Cn	16	正文	建	建	小臣󐬂鼎	
󐳐	U+D0CD0	Cn	16	正文	󐳐	󐳐	彔伯󐕱簋蓋	
󐳷	U+D0CF7	Cn	16	正文	弟	弟	叔󐳷父簋	
󐸢	U+D0E22	Cn	16	單一族徽	單一族徽第415組	單一族徽第415組	󐸢爵	
󐹻	U+D0E7B	Cn	16	正文	寶	󐷼	󐹻父盤	
󐼎	U+D0F0E	Cn	16	正文	吉	吉	𫑤公伯󐼎簋	
󐼯	U+D0F2F	Cn	16	正文	󐼯	󐼯	叔簋	
󑄏	U+D110F	Cn	16	正文	󑄏	󑄏	󑄏子豆蓋	
󑛖	U+D16D6	Cn	16	正文	乃	乃	󑛖卣	
󑬔	U+D1B14	Cn	16	正文	󑬔	󑬔	郙王󑬔劍	
𼎎	U+3C38E	Cn	15	正文	𼎎	𼎎	遣伯簋	
󐆨	U+D01A8	Cn	15	正文	󐆨	󐆨	戍𫲱鼎	
󐍸	U+D0378	Cn	15	正文	一	一	󐍸簋	
󐛠	U+D06E0	Cn	15	正文	歸	󑃡	伯歸󐛠鼎	
󐥑	U+D0951	Cn	15	單一族徽	單一族徽第278組	單一族徽第278組	󐥑觶	
󐥨	U+D0968	Cn	15	正文	蘇	𩵦	蘇󐥨子癸父甲簋	
󐦉	U+D0989	Cn	15	正文	󐧝	󐦉	作父乙鼎	
󐨠	U+D0A20	Cn	15	正文	䀠	䀠	󐪅伯󐨠鼎	
󐬄	U+D0B04	Cn	15	正文	召	󐬄	四祀𠨘其壺	
󐬤	U+D0B24	Cn	15	正文	匡	󐬤	曶鼎	
󐭀	U+D0B40	Cn	15	正文	𩒳	󐭀	師器父鼎	
󐷷	U+D0DF7	Cn	15	正文	󐷷	󐷷	󐷷壺蓋	
󐹅	U+D0E45	Cn	15	單一族徽	單一族徽第214組	單一族徽第214組	󐹅簋	
󐿝	U+D0FDD	Cn	15	正文	三	三	󐿝尊	
󑀘	U+D1018	Cn	15	正文	󑀘	󑀘	󑀘簋	
󑗆	U+D15C6	Cn	15	正文	周	周	周󑗆壺	
󐄤	U+D0124	Cn	14	正文	王	王	小子󐄤鼎	
󐋱	U+D02F1	Cn	14	正文	讎	󐋱	󐋱卣蓋	
󐓟	U+D04DF	Cn	14	正文	朋	󐓟	朋鬲	
󐣽	U+D08FD	Cn	14	正文	示	示	󐣽卣蓋	
󐤙	U+D0919	Cn	14	單一族徽	單一族徽第250組	單一族徽第250組	󐤙鼎	
󐤬	U+D092C	Cn	14	單一族徽	單一族徽第263組	單一族徽第263組	󐤬戊鼎	
󐥲	U+D0972	Cn	14	單一族徽	單一族徽第307組	單一族徽第307組	󐥲父乙鼎	
󐨍	U+D0A0D	Cn	14	正文	𩒳	󐨍	欒伯盤	
󐩙	U+D0A59	Cn	14	正文	󐩙	󐩙	發鼎	
󐬢	U+D0B22	Cn	14	正文	今	含	󐬢保之女鼎	
󐬼	U+D0B3C	Cn	14	正文	揚	󐬼	作冊夨令簋	
󐭩	U+D0B69	Cn	14	正文	󐭩	󐭩	󐭩尊	
󐮷	U+D0BB7	Cn	14	正文	具	具	󐮷簋	
󐯤	U+D0BE4	Cn	14	正文	遘	遘	󐯤鼎	
󐱽	U+D0C7D	Cn	14	正文	龏	󐱽	龏妊甗	
󑂶	U+D10B6	Cn	14	正文	惠	惠	邾太宰欉子󑂶簠蓋	
󑖦	U+D15A6	Cn	14	正文	𬜪	𬜪	󑖦駒壺	
󰌔	U+F0314	Co	14	正文	丂	丂	󰌔可忌敦	
󐓐	U+D04D0	Cn	13	正文	父	父	仲󐓐父簋蓋	
󐤇	U+D0907	Cn	13	正文	𧯦	𧯦	客𧯦󐤇鼎	
󐥮	U+D096E	Cn	13	單一族徽	單一族徽第303組	單一族徽第303組	󐥮父甲鼎	
󐪳	U+D0AB3	Cn	13	正文	邁	󐪳	叔巟甗	
󐬛	U+D0B1B	Cn	13	正文	槃	󑟃	󐬛君單盤	
󐯑	U+D0BD1	Cn	13	單一族徽	單一族徽第12組	單一族徽第12組	󐯑癸爵	
󐲍	U+D0C8D	Cn	13	正文	󐲍	󐲍	大盂鼎	
󐴂	U+D0D02	Cn	13	正文	廛	󐴂	公子󐴂父簋丙	
󐴄	U+D0D04	Cn	13	正文	鑄	󐴄	番匊生壺	
󐼠	U+D0F20	Cn	13	正文	祖	𱑲	晉侯󐼠簋	
󑀆	U+D1006	Cn	13	正文	元	元	󑀆談公之不子戈	
󑀟	U+D101F	Cn	13	正文	󑀟	󑀟	󑀟簋甲	
󑓨	U+D14E8	Cn	13	正文	言	言	󑓨卣蓋	
󑟘	U+D17D8	Cn	13	正文	󑟘	󑟘	叔夷鎛	
󑧄	U+D19C4	Cn	13	正文	造	𢽍	曹右󑧄戈	
񅆒	U+45192	Cn	12	正文	񅆒	񅆒	尹姞鬲	
񅞇	U+45787	Cn	12	正文	𠱾	𠱾	曾𡝹񅞇朱姬簠	
󐄎	U+D010E	Cn	12	正文	󐄎	󐄎	丮觥蓋	
󐕐	U+D0550	Cn	12	正文	自	自	󐕐鼎	
󐕯	U+D056F	Cn	12	正文	迊	迊	子󐕯迊子壺	
󐦦	U+D09A6	Cn	12	正文	友	友	󐦦友左鼎	
󐨁	U+D0A01	Cn	12	正文	󐨁	󐨁	󐨁伯鼎	
󐪩	U+D0AA9	Cn	12	正文	永	󐪩	羌鼎	
󐪫	U+D0AAB	Cn	12	正文	走	󐪫	召圜器	
󐫰	U+D0AF0	Cn	12	正文	敔	󐫰	敔簋	
󐭼	U+D0B7C	Cn	12	正文	若	若	徐王󐭼鼎	
󐮢	U+D0BA2	Cn	12	正文	揚	󐮢	󐮠󐮡鼎	
󐮴	U+D0BB4	Cn	12	正文	揚	󐮴	小子壺	
󐳤	U+D0CE4	Cn	12	複合族徽	󐳤󐀕	󐳤󐀕	󐳤󐀕爵	
󐺚	U+D0E9A	Cn	12	正文	󐺚	󐺚	子󐺚爵蓋	
󐺜	U+D0E9C	Cn	12	正文	󐺜	󐺜	󐺜󐺜簋	
󐽧	U+D0F67	Cn	12	正文	󐽧	󐽧	曾仲大父蛕簋	
󐽨	U+D0F68	Cn	12	正文	󐽨	󐽨	啟卣蓋	
󐽷	U+D0F77	Cn	12	正文	󐽷	󐽷	免簋	
󐾊	U+D0F8A	Cn	12	正文	欨	欨	󐾊簋	
󑔍	U+D150D	Cn	12	正文	瓚	󐐓	󑔍尊	
󰌳	U+F0333	Co	12	複合族徽	󰌳𫠤	󰌳𫠤	󰌳󐦈觚	
񅐍	U+4540D	Cn	11	正文	蔡	󐀣	蔡大善夫񅐍簠	
󐀊	U+D000A	Cn	11	正文	視	󐀊	𫡗鼎	
󐤠	U+D0920	Cn	11	單一族徽	單一族徽第254組	單一族徽第254組	󐤠甗	
󐦈	U+D0988	Cn	11	單一族徽	單一族徽第232組	單一族徽第232組	󐣹󐦈爵	
󐧆	U+D09C6	Cn	11	複合族徽	子󐧆	子󐧆	子󐧆簋	
󐨮	U+D0A2E	Cn	11	正文	齍	𠆜	󐨮公簋	
󐪶	U+D0AB6	Cn	11	正文	邁	󐪶	觶	
󐭕	U+D0B55	Cn	11	正文	匜	󐭕	伯𠂔匜	
󐮼	U+D0BBC	Cn	11	正文	帝	帝	󐮼方鼎	
󐰑	U+D0C11	Cn	11	正文	諫	諫	󐰑鼎	
󐵑	U+D0D51	Cn	11	正文	󐵑	󐵑	郑井叔󐵑父鬲	
󐸆	U+D0E06	Cn	11	正文	分	分	󐸆甗	
󐻂	U+D0EC2	Cn	11	正文	散	󐻂	散氏盤	
󐼄	U+D0F04	Cn	11	正文	興	興	󐼄簋	
󐽋	U+D0F4B	Cn	11	正文	往	󐽍	󐽋簋蓋	
󐾰	U+D0FB0	Cn	11	正文	祝	祝	󐾰簋蓋	
󑀙	U+D1019	Cn	11	正文	󑀙	󑀙	毛󑀙簋	
󑃊	U+D10CA	Cn	11	正文	曾	曾	曾公子叔󑃊簠乙蓋	
󑆘	U+D1198	Cn	11	複合族徽	子󑆘	子󑆘	子圭母爵	
󑉧	U+D1267	Cn	11	正文	󑉧	󑉧	󑉧壺	
󑒜	U+D149C	Cn	11	複合族徽	󑒜耳	󑒜耳	󑒜耳卣	
󑩐	U+D1A50	Cn	11	正文	譊	譊	代相樂󑩐鈹	
󑬂	U+D1B02	Cn	11	正文	壯	壯	襄城令𪺝󑬂矛	
񈅈	U+48148	Cn	10	正文	񈅈	񈅈	南季鼎	
󈪭	U+C8AAD	Cn	10	正文	八	八	󈪭子񅝾盞	
󈫁	U+C8AC1	Cn	10	正文	󈫁	󈫁	史󈫁觶蓋	
󐈃	U+D0203	Cn	10	正文	󐈃	󐈃	󐈃盨	
󐉮	U+D026E	Cn	10	正文	󐉮	󐉮	子卣	
󐏶	U+D03F6	Cn	10	正文	󐏶	󐏶	棘𤯂鼎蓋	
󐐓	U+D0413	Cn	10	正文	瓚	󐐓	姒丁尊	
󐑧	U+D0467	Cn	10	正文	𥁕	󐑧	𥁕弗生甗	
󐓕	U+D04D5	Cn	10	正文	彔	彔	󐓕󐴏尹仲彔鼎	
󐕏	U+D054F	Cn	10	正文	旅	󐕏	叔京簋	
󐜙	U+D0719	Cn	10	正文	󐜙	󐤆	集󐤆鼎	
󐥔	U+D0954	Cn	10	正文	肇	󐥔	婦姒啟鼎	
󐥘	U+D0958	Cn	10	單一族徽	單一族徽第284組	單一族徽第284組	󐥘父乙簋	
󐩁	U+D0A41	Cn	10	正文	孤	󐩁	亞󐤽孤竹鼎	
󐯔	U+D0BD4	Cn	10	正文	󐯔	󐯔	小盂鼎	
󐰏	U+D0C0F	Cn	10	正文	󐰏	󐰏	毛󐰏簋	
󐰼	U+D0C3C	Cn	10	正文	𩒳	󐰼	仲枏父鬲	
󐴏	U+D0D0F	Cn	10	正文	彔	彔	󐓕󐴏尹仲彔鼎	
󐵟	U+D0D5F	Cn	10	正文	敔	󐵟	敔簋蓋	
󐺨	U+D0EA8	Cn	10	正文	荊	𠛄	󐺨簋	
󐼁	U+D0F01	Cn	10	正文	󐼁	󐼁	吳󐼁父簋蓋	
󐽶	U+D0F76	Cn	10	正文	󐽷	󐽷	󐽶簋蓋	
󑀳	U+D1033	Cn	10	正文	󑀳	󑀳	仲󑀳父簋蓋	
󑁺	U+D107A	Cn	10	正文	復	󑁺	季󑁺父簠	
󑄐	U+D1110	Cn	10	正文	󑄏	󑄏	󑄏子󑄐豆	
󑊍	U+D128D	Cn	10	正文	㞢	㞢	王㞢女󑊍觥蓋	
󑚺	U+D16BA	Cn	10	正文	西	西	伯󑚺盉	
󑩣	U+D1A63	Cn	10	正文	妾	妾	相邦󑩣戈	
󑭀	U+D1B40	Cn	10	正文	禦	󑭂	攻吳太子姑發󑭀反劍	
󑮑	U+D1B91	Cn	10	正文	󑮑	󑄂	昭器蓋	
𾍶	U+3E376	Cn	9	正文	𾍶	𾍶	𾍶卣蓋	
񄰕	U+44C15	Cn	9	正文	登	񄰕	鄧公盉	
󐀉	U+D0009	Cn	9	正文	㼱	󐀉	叔休壺甲	
󐃟	U+D00DF	Cn	9	正文	薛	󐃟	󑓥薛尊	
󐔎	U+D050E	Cn	9	正文	󐔎	󐔎	󐔎觥	
󐣭	U+D08ED	Cn	9	正文	奔	󐣭	婦󐣭簋	
󐦊	U+D098A	Cn	9	正文	乙	乙	󐦊車乙鼎	
󐦔	U+D0994	Cn	9	複合族徽	萈󐦔耒	萈󐦔耒	󐦓󐦔力鼎	
󐦭	U+D09AD	Cn	9	正文	父	父	󐦭父己尊	
󐨄	U+D0A04	Cn	9	正文	楷	󐨄	楷仲鼎	
󐫟	U+D0ADF	Cn	9	正文	𤯍	󐫟	司鼎	
󐭍	U+D0B4D	Cn	9	正文	鑄	󐭍	楚公家鐘二	
󐮓	U+D0B93	Cn	9	正文	揚	󐮓	伯𫳖父卣	
󐮠	U+D0BA0	Cn	9	正文	逐	逐	󐮠󐮡鼎	
󐯖	U+D0BD6	Cn	9	正文	雝	󐯖	雍子前彝戈	
󐰋	U+D0C0B	Cn	9	正文	鑄	󐰋	榮伯鬲	
󐵮	U+D0D6E	Cn	9	複合族徽	󑍒󐵮	󑍒󐵮	󑍒󐵮壺蓋	
󐻴	U+D0EF4	Cn	9	正文	󐻴	󐻴	叔󐻴父簋	
󐻶	U+D0EF6	Cn	9	正文	公	公	󐻶公聞簋	
󐻺	U+D0EFA	Cn	9	正文	󐻺	󐻺	𥾈氏󐻺簋乙	
󐽁	U+D0F41	Cn	9	正文	益	益	󐽁簋	
󑀨	U+D1028	Cn	9	正文	󑀨	󑀨	母󑀨󑙹帚方彝蓋	
󑂚	U+D109A	Cn	9	正文	䀇	󑂚	伊𬢸簠	
󑃝	U+D10DD	Cn	9	正文	盂	󑃝	黃子螻盞	
󑃡	U+D10E1	Cn	9	正文	歸	󑃡	應侯視工鐘	
󑇽	U+D11FD	Cn	9	複合族徽	󑇽󑇾門	󑇽󑇾門	󑇽󑇾門爵	
󑇾	U+D11FE	Cn	9	複合族徽	󑇽󑇾門	󑇽󑇾門	󑇽󑇾門爵	
󑍒	U+D1352	Cn	9	複合族徽	鳥󑍒	鳥󑍒	鳥󑍒觚	
󑍕	U+D1355	Cn	9	複合族徽	󑍕󐸢	󑍕󐸢	󑍕󐸢觚	
󑓓	U+D14D3	Cn	9	正文	󑓓	󑓓	󑓓尊	
󑖘	U+D1598	Cn	9	正文	󑖘	󑖘	󑖘侯壺蓋	
󑘮	U+D162E	Cn	9	正文	死	死	賈子伯󑘮父盤	
󑣁	U+D18C1	Cn	9	正文	萃	𧛀	敬󑣁新城戈	
󑥰	U+D1970	Cn	9	單一族徽	單一族徽第229組	單一族徽第229組	󑥰󐣱鐃甲	
󑦍	U+D198D	Cn	9	正文	冶	󑦍	邞戈	
󑫫	U+D1AEB	Cn	9	正文	朏	朏	褱令󑫫備戈	
󑮎	U+D1B8E	Cn	9	正文	󑮎	󑮎	右里󑮎󑮏量	
󑮏	U+D1B8F	Cn	9	正文	󑮎	󑮎	右里󑮎󑮏量	
󰈀	U+F0200	Co	9	正文	琮	󐯵	作冊󰈀卣	
󰌫	U+F032B	Co	9	複合族徽	󰌫夨	󰌫夨	󰌫矢父戊爵	
񅅠	U+45160	Cn	8	合文	二十	二十	񅅠厨鼎蓋	
󈧐	U+C89D0	Cn	8	複合族徽	㚔󈧐	㚔󈧐	㚔󐀕壺	
󐅺	U+D017A	Cn	8	正文	󐅺	󐅺	󐅺卣蓋	
󐓺	U+D04FA	Cn	8	正文	蘇	𩵦	蘇󐓺壺	
󐕁	U+D0541	Cn	8	正文	訇	訇	󐕁𫳰󐺷簋	
󐖺	U+D05BA	Cn	8	正文	半	󐖺	秦公簋	
󐗏	U+D05CF	Cn	8	正文	鬲	󐗏	芮太子白鬲甲	
󐦐	U+D0990	Cn	8	單一族徽	單一族徽第328組	單一族徽第328組	󐦐鼎	
󐦩	U+D09A9	Cn	8	正文	󐦩	󐦩	王卣蓋	
󐧊	U+D09CA	Cn	8	正文	弄	弄	鳥󐧊簋	
󐩶	U+D0A76	Cn	8	正文	󐩶	󐩶	妯子鼎	
󐪄	U+D0A84	Cn	8	正文	󐪄	󐪄	󐪄子鼎	
󐪇	U+D0A87	Cn	8	正文	懿	󐪈	󐪇父鼎	
󐪞	U+D0A9E	Cn	8	正文	瓚	󐐓	瓚󐪞鼎	
󐪻	U+D0ABB	Cn	8	正文	梁	󐬞	󐪻佗壺	
󐫩	U+D0AE9	Cn	8	正文	󐫩	󐫩	應公鼎	
󐰓	U+D0C13	Cn	8	正文	󐰓	󐰓	師道簋	
󐰡	U+D0C21	Cn	8	正文	󐰡	󐰡	番生簋蓋	
󐰲	U+D0C32	Cn	8	正文	󐰲	󐰲	曾夫人󐶮鬲	
󐲃	U+D0C83	Cn	8	正文	󐲃	󐲃	小臣𬣆簋蓋	
󐳽	U+D0CFD	Cn	8	正文	󐳽	󐳽	昶󐳼仲比父鼎	
󐷶	U+D0DF6	Cn	8	正文	粱	󐷶	史免簠蓋	
󐺟	U+D0E9F	Cn	8	正文	凡	󐺟	小臣宅簋	
󐺢	U+D0EA2	Cn	8	正文	󐺢	󐺢	伯󐺢簋蓋	
󐺷	U+D0EB7	Cn	8	正文	訇	訇	󐕁𫳰󐺷簋	
󐻀	U+D0EC0	Cn	8	正文	󐻀	󐻀	𬇻󐻀簋	
󐻇	U+D0EC7	Cn	8	正文	󐻇	󐻇	伯󐻇簋	
󐼷	U+D0F37	Cn	8	正文	󐼷	󐼷	賈伯壺甲	
󐾼	U+D0FBC	Cn	8	正文	總	󐾼	盠尊	
